State,Number of fires,Number of acres burned
Alabama,"1,856","18,335"
Alaska,346,"314,276"
Arizona,"1,837","188,483"
Arkansas,147,"5,659"
California,"7,364","332,722"
Colorado,861,"41,917"
Connecticut,499,297
Delaware,1,0
District of Columbia,0,0
Florida,"2,730","99,642"
Georgia,"2,386","10,330"
Hawaii,214,"12,059"
Idaho,892,"87,801"
Illinois,22,111
Indiana,47,521
Iowa,6,6
Kansas,49,"17,963"
Kentucky,9,70
Louisiana,"1,467","22,103"
Maine,493,325
Maryland,196,"4,486"
Massachusetts,"1,079","1,468"
Michigan,466,"4,287"
Minnesota,836,"9,416"
Mississippi,"2,383","52,508"
Missouri,127,"9,499"
Montana,"1,662","123,133"
Nebraska,569,"180,733"
Nevada,375,"1,300"
New Hampshire,52,58
New Jersey,"1,194","18,033"
New Mexico,"1,019","212,378"
New York,150,"1,383"
North Carolina,"5,214","73,953"
North Dakota,471,"4,183"
Ohio,883,"2,469"
Oklahoma,"1,580","162,489"
Oregon,"1,979","202,035"
Pennsylvania,"1,910","9,628"
Puerto Rico,0,0
Rhode Island,78,582
South Carolina,22,591
South Dakota,177,945
Tennessee,772,"15,394"
Texas,"7,102","210,264"
Utah,782,"18,109"
Vermont,67,62
Virginia,43,"12,085"
Washington,"1,707","151,316"
West Virginia,"1,124","45,679"
Wisconsin,"1,086","4,883"
Wyoming,249,"7,934"
