State,Year,State-level
Alabama,2023,0.00
Alaska,2023,0.03
Arizona,2023,0.18
Arkansas,2023,0.07
California,2023,0.32
Colorado,2023,0.11
Connecticut,2023,0.12
Delaware,2023,0.05
Florida,2023,0.05
Georgia,2023,0.01
Hawaii,2023,0.46
Idaho,2023,0.05
Illinois,2023,0.05
Indiana,2023,0.02
Iowa,2023,0.09
Kansas,2023,0.01
Kentucky,2023,0.01
Louisiana,2023,0.03
Maine,2023,0.45
Maryland,2023,0.08
Massachusetts,2023,0.12
Michigan,2023,0.02
Minnesota,2023,0.17
Mississippi,2023,0.00
Missouri,2023,0.03
Montana,2023,0.04
Nebraska,2023,0.06
Nevada,2023,0.20
New Hampshire,2023,0.06
New Jersey,2023,0.19
New Mexico,2023,0.11
New York,2023,0.10
North Carolina,2023,0.02
North Dakota,2023,0.00
Ohio,2023,0.01
Oklahoma,2023,0.01
Oregon,2023,0.05
Pennsylvania,2023,0.03
Puerto Rico,2023,0.18
Rhode Island,2023,0.10
South Carolina,2023,0.03
South Dakota,2023,0.00
Tennessee,2023,0.03
Texas,2023,0.05
Utah,2023,0.11
Vermont,2023,0.12
Virginia,2023,0.03
Washington,2023,0.03
Washington DC,2023,0.13
West Virginia,2023,0.01
Wisconsin,2023,0.03
Wyoming,2023,0.02
